iter	MAE
0	0.6458546523
1	0.6362998598
2	0.6250890396
3	0.6153988728
4	0.6061297691
5	0.597318599
6	0.5901930357
7	0.5820580235
8	0.5755564162
9	0.5690442969
10	0.5618794386
11	0.5560313679
12	0.5501014226
13	0.5447584165
14	0.5399822215
15	0.5353424589
16	0.5312533632
17	0.526845242
18	0.5244009519
19	0.5205589635
20	0.5176089103
21	0.5147024125
22	0.5123623105
23	0.5098712196
24	0.5074285411
25	0.5043035417
26	0.5024133088
27	0.5001338045
28	0.4979476317
29	0.4958528839
30	0.4948654973
31	0.4932530687
32	0.4912625427
33	0.4905250076
34	0.488924802
35	0.4873462839
36	0.4866509588
37	0.4852009855
38	0.4840920949
39	0.4826323896
40	0.4813779922
41	0.4803785505
42	0.4789366334
43	0.4776198076
44	0.4766011682
45	0.4761714204
46	0.4749468106
47	0.4738818409
48	0.4736754116
49	0.4724937158
50	0.4715300677
51	0.4706897636
52	0.4696548726
53	0.469028505
54	0.4681188834
55	0.4670837064
56	0.4665206008
57	0.4654008462
58	0.4644134014
59	0.4636049291
60	0.4628753731
61	0.4619543162
62	0.4618449911
63	0.4611490879
64	0.4604571373
65	0.4596125342
66	0.4588623015
67	0.4580305793
68	0.4579642071
69	0.4574623844
70	0.4564576361
71	0.455487382
72	0.4550226271
73	0.4544172289
74	0.45359745
75	0.4527821147
76	0.4527356306
77	0.4519184557
78	0.4517841541
79	0.4510625875
80	0.4502448595
81	0.4494545014
82	0.4488054007
83	0.447979514
84	0.4472437806
85	0.4465510997
86	0.4458815404
87	0.444653802
88	0.4443700061
89	0.4435945498
90	0.4431468676
91	0.4427184087
92	0.4418052305
93	0.4409449009
94	0.4399148732
95	0.4390182128
96	0.4386626806
97	0.4382608099
98	0.4376451346
99	0.4366834239
100	0.4359079421
101	0.4354370516
102	0.4349180657
103	0.4348738085
104	0.4338168074
105	0.4333334792
106	0.4327425222
107	0.4324860071
108	0.4308996492
109	0.4301151604
110	0.4299176398
111	0.4293689287
112	0.4289153743
113	0.4276262352
114	0.4270577169
115	0.4270381352
116	0.4266964313
117	0.4259378773
118	0.42564878
119	0.425301663
120	0.4248996565
121	0.4244496117
122	0.4239946526
123	0.4237865418
124	0.4229679624
125	0.4221559901
126	0.4215813921
127	0.4208888485
128	0.4208575027
129	0.4203321432
130	0.4200280594
131	0.4193562919
132	0.4190798929
133	0.4182817178
134	0.417977704
135	0.4176416947
136	0.4172400697
137	0.4164193522
138	0.4162673171
139	0.4162646021
140	0.4160005061
141	0.415652387
142	0.4154711435
143	0.415154018
144	0.4146101075
145	0.4142211295
146	0.4137385797
147	0.4133084143
148	0.4131593069
149	0.4125132945
150	0.41159632
151	0.4114180041
152	0.4111154055
153	0.4107870061
154	0.4099672201
155	0.4094901895
156	0.409021391
157	0.4082022241
158	0.4075057955
159	0.4069029194
160	0.4065008089
161	0.406427483
162	0.4059472361
163	0.4055394619
164	0.4050209796
165	0.4039630323
166	0.4032308911
167	0.4026847309
168	0.4023108629
169	0.4019083879
170	0.4015348137
171	0.4011315539
172	0.4005103996
173	0.4000964129
174	0.3993213066
175	0.3985301419
176	0.3980351274
177	0.3977850489
178	0.3974114582
179	0.3971087795
180	0.3968089057
181	0.3964189188
182	0.3954229651
183	0.3950912407
184	0.394693894
185	0.3942139854
186	0.3936472466
187	0.3931213895
188	0.3925295468
189	0.3920406725
190	0.3914561161
191	0.391197684
192	0.390718745
193	0.3901102716
194	0.3896594481
195	0.3890403455
196	0.3882791348
197	0.3879583955
198	0.3873616109
199	0.386827358
200	0.3863179096
201	0.3858553265
202	0.3855963792
203	0.3848565074
204	0.3845000861
205	0.3841551707
206	0.3836332136
207	0.3833928483
208	0.3832778959
209	0.3828481342
210	0.3823037903
211	0.3816765643
212	0.3810851727
213	0.3805869881
214	0.3802183546
215	0.3799415829
216	0.3794961098
217	0.3791272644
218	0.3780904868
219	0.3779843286
220	0.3775939562
221	0.3769148116
222	0.3765831932
223	0.3761230301
224	0.3756885205
225	0.3753813321
226	0.3750642325
227	0.3747532684
228	0.3744857081
229	0.3744096327
230	0.3740210458
231	0.3737594453
232	0.3732767997
233	0.3724679099
234	0.3721550074
235	0.3718292289
236	0.3715118748
237	0.3711999208
238	0.3708209368
239	0.3704716338
240	0.3701633139
241	0.3697617814
242	0.3693498786
243	0.3689975494
244	0.3688206885
245	0.3686404916
246	0.3676640308
247	0.3673400963
248	0.3672035324
249	0.3670480182
250	0.3669492664
251	0.3668031178
252	0.3665142121
253	0.366054726
254	0.3659034146
255	0.3657757087
256	0.365367776
257	0.3652108034
258	0.3646834668
259	0.3640764184
260	0.3636602585
261	0.3634500895
262	0.3632507511
263	0.3628548768
264	0.362358535
265	0.3620678025
266	0.3616618842
267	0.3615473946
268	0.3613367291
269	0.360943478
270	0.3604523605
271	0.360103549
272	0.3597721228
273	0.3595867268
274	0.3593191467
275	0.3588124464
276	0.3585230154
277	0.358221749
278	0.3578390757
279	0.3573829594
280	0.3571351708
281	0.3570060219
282	0.3569238706
283	0.3567915528
284	0.356321242
285	0.355996248
286	0.3558668386
287	0.3556705678
288	0.3554864914
289	0.3550089876
290	0.3547534739
291	0.3545266243
292	0.3541044849
293	0.3536830172
294	0.3534264327
