iter	Passed	Remaining
0	74	111026
1	84	63531
2	108	54309
3	138	51858
4	165	49514
5	192	47876
6	226	48336
7	253	47274
8	285	47266
9	308	46028
10	332	45029
11	356	44186
12	379	43387
13	401	42668
14	423	41928
15	442	41071
16	466	40676
17	489	40333
18	498	38889
19	517	38264
20	539	37999
21	561	37713
22	584	37525
23	605	37256
24	628	37098
25	649	36800
26	671	36606
27	692	36426
28	716	36320
29	738	36194
30	745	35348
31	765	35136
32	788	35048
33	794	34271
34	813	34031
35	836	34025
36	844	33387
37	865	33288
38	888	33293
39	911	33269
40	934	33248
41	961	33392
42	985	33391
43	1007	33353
44	1032	33374
45	1038	32828
46	1056	32672
47	1076	32562
48	1080	31995
49	1099	31885
50	1119	31802
51	1143	31836
52	1166	31851
53	1187	31807
54	1206	31697
55	1228	31675
56	1238	31360
57	1257	31264
58	1282	31333
59	1307	31385
60	1328	31342
61	1352	31370
62	1357	30971
63	1377	30901
64	1399	30890
65	1423	30936
66	1452	31064
67	1479	31158
68	1485	30801
69	1490	30443
70	1515	30494
71	1548	30713
72	1580	30903
73	1609	31024
74	1637	31109
75	1665	31200
76	1669	30853
77	1690	30819
78	1708	30730
79	1733	30770
80	1762	30882
81	1797	31084
82	1826	31179
83	1855	31279
84	1881	31329
85	1912	31452
86	1937	31460
87	1959	31448
88	1989	31541
89	2020	31659
90	2052	31783
91	2087	31942
92	2126	32177
93	2158	32288
94	2187	32358
95	2220	32479
96	2247	32505
97	2270	32486
98	2295	32485
99	2319	32477
100	2348	32532
101	2378	32596
102	2403	32593
103	2408	32331
104	2434	32338
105	2461	32369
106	2485	32362
107	2511	32366
108	2538	32392
109	2559	32337
110	2575	32234
111	2597	32193
112	2618	32136
113	2642	32126
114	2663	32082
115	2669	31854
116	2687	31772
117	2711	31755
118	2734	31735
119	2755	31693
120	2779	31679
121	2799	31618
122	2820	31579
123	2839	31507
124	2863	31496
125	2885	31467
126	2908	31445
127	2930	31409
128	2936	31207
129	2953	31130
130	2973	31077
131	2997	31070
132	3024	31090
133	3055	31144
134	3085	31201
135	3115	31242
136	3142	31266
137	3171	31301
138	3197	31308
139	3201	31101
140	3231	31144
141	3264	31215
142	3288	31203
143	3314	31211
144	3339	31207
145	3362	31187
146	3387	31179
147	3413	31184
148	3438	31180
149	3468	31213
150	3493	31211
151	3520	31221
152	3549	31252
153	3579	31289
154	3609	31319
155	3636	31328
156	3664	31346
157	3693	31367
158	3725	31422
159	3753	31436
160	3778	31423
161	3804	31419
162	3834	31449
163	3864	31483
164	3893	31505
165	3923	31527
166	3951	31537
167	3983	31581
168	4015	31626
169	4046	31660
170	4077	31687
171	4105	31702
172	4135	31717
173	4161	31713
174	4188	31709
175	4212	31689
176	4238	31683
177	4264	31673
178	4291	31671
179	4315	31644
180	4346	31673
181	4376	31693
182	4406	31710
183	4438	31741
184	4465	31741
185	4492	31736
186	4515	31703
187	4543	31708
188	4572	31714
189	4594	31677
190	4617	31645
191	4640	31615
192	4664	31587
193	4686	31551
194	4707	31506
195	4729	31466
196	4752	31433
197	4773	31389
198	4796	31354
199	4816	31309
200	4838	31271
201	4862	31242
202	4887	31224
203	4909	31188
204	4930	31145
205	4952	31112
206	4977	31092
207	5001	31066
208	5029	31067
209	5053	31041
210	5075	31008
211	5097	30972
212	5121	30946
213	5145	30922
214	5169	30895
215	5191	30862
216	5214	30830
217	5237	30797
218	5265	30796
219	5288	30767
220	5314	30754
221	5339	30736
222	5365	30725
223	5392	30719
224	5416	30691
225	5438	30658
226	5460	30620
227	5482	30584
228	5503	30547
229	5523	30500
230	5545	30465
231	5567	30431
232	5589	30395
233	5613	30371
234	5636	30339
235	5656	30294
236	5677	30257
237	5700	30227
238	5723	30197
239	5744	30160
240	5766	30126
241	5788	30091
242	5811	30061
243	5832	30023
244	5855	29993
245	5877	29961
246	5899	29928
247	5921	29896
248	5942	29857
249	5964	29824
250	5985	29783
251	6007	29749
252	6034	29744
253	6060	29728
254	6083	29700
255	6106	29671
256	6131	29654
257	6151	29614
258	6174	29585
259	6196	29551
260	6218	29517
261	6240	29488
262	6270	29490
263	6292	29459
264	6317	29443
265	6343	29426
266	6371	29422
267	6399	29419
268	6426	29410
269	6447	29371
270	6469	29337
271	6491	29305
272	6511	29264
273	6533	29234
274	6555	29203
275	6576	29167
276	6599	29136
277	6622	29111
278	6645	29081
279	6668	29054
280	6689	29018
281	6710	28984
282	6732	28950
283	6754	28922
284	6777	28892
285	6798	28858
286	6821	28830
287	6843	28801
288	6865	28767
289	6889	28746
290	6910	28709
291	6934	28686
292	6957	28662
293	6980	28635
294	7003	28606
295	7027	28582
296	7049	28554
297	7070	28521
298	7093	28491
299	7115	28460
300	7140	28441
301	7163	28417
302	7185	28386
303	7208	28359
304	7229	28326
305	7252	28298
306	7275	28273
307	7299	28251
308	7324	28230
309	7352	28222
310	7376	28201
311	7396	28163
312	7421	28145
313	7450	28141
314	7479	28137
315	7505	28122
316	7527	28091
317	7550	28063
318	7572	28036
319	7595	28006
320	7615	27971
321	7636	27936
322	7658	27906
323	7683	27886
324	7706	27863
325	7730	27837
326	7750	27803
327	7772	27771
328	7790	27729
329	7813	27703
330	7835	27674
331	7859	27649
332	7883	27628
333	7908	27608
334	7931	27583
335	7954	27556
336	7977	27531
337	8004	27519
338	8031	27506
339	8057	27488
340	8080	27465
341	8110	27462
342	8136	27444
343	8157	27413
344	8183	27398
345	8207	27375
346	8230	27346
347	8251	27316
348	8276	27296
349	8299	27270
350	8328	27263
351	8352	27241
352	8376	27216
353	8402	27200
354	8428	27185
355	8455	27170
356	8477	27141
357	8497	27107
358	8518	27073
359	8542	27051
360	8565	27024
361	8588	26999
362	8612	26977
363	8636	26953
364	8659	26926
365	8680	26895
366	8703	26868
367	8725	26841
368	8747	26810
369	8770	26784
370	8792	26757
371	8816	26733
372	8838	26705
373	8860	26675
374	8883	26650
375	8908	26629
376	8932	26607
377	8954	26580
378	8975	26548
379	8997	26519
380	9019	26489
381	9041	26461
382	9063	26434
383	9084	26402
384	9108	26377
385	9129	26348
386	9153	26326
387	9176	26299
388	9198	26271
389	9222	26247
390	9244	26220
391	9267	26195
392	9289	26165
393	9309	26133
394	9331	26104
395	9352	26074
396	9374	26046
397	9395	26015
398	9418	25988
399	9440	25962
400	9463	25936
401	9484	25905
402	9505	25873
403	9527	25847
404	9549	25819
405	9571	25792
406	9594	25764
407	9616	25739
408	9639	25713
409	9662	25687
410	9684	25660
411	9704	25628
412	9726	25600
413	9747	25570
414	9770	25545
415	9793	25518
416	9817	25496
417	9839	25469
418	9863	25446
419	9886	25421
420	9910	25399
421	9934	25377
422	9953	25342
423	9973	25311
424	9997	25288
